p_key,country1,country2,country3,country4,country5,amount,transaction_date,Path,Path_length
2990001,Russia,Greece,Mexico,Mexico,United Kingdom,9417.0,2019-02-28T16:01:58.000Z,Russia_Greece_Mexico_United Kingdom,4
2990002,,,Mexico,United Kingdom,United Kingdom,89205.0,2019-02-28T16:02:00.000Z,Mexico_United Kingdom,2
2990003,Mexico,,Greece,Spain,Israel,57071.0,2019-02-28T16:02:04.000Z,Mexico_Greece_Spain_Israel,4
2990004,Russia,Israel,United Kingdom,Russia,,9294.0,2019-02-28T16:02:04.000Z,Russia_Israel_United Kingdom_Russia,4
2990005,Turkey,Mexico,Turkey,Turkey,Turkey,60597.0,2019-02-28T16:02:06.000Z,Turkey_Mexico_Turkey,3
2990006,Greece,Greece,Spain,Russia,Turkey,97891.0,2019-02-28T16:02:12.000Z,Greece_Spain_Russia_Turkey,4
2990007,,Russia,Turkey,United Kingdom,Spain,95829.0,2019-02-28T16:02:14.000Z,Russia_Turkey_United Kingdom_Spain,4
2990008,Turkey,Israel,Turkey,United Kingdom,Mexico,66220.0,2019-02-28T16:02:20.000Z,Turkey_Israel_Turkey_United Kingdom_Mexico,5
2990009,United Kingdom,,,,Russia,55560.0,2019-02-28T16:02:21.000Z,United Kingdom_Russia,2
2990010,Russia,Spain,,Greece,United Kingdom,51525.0,2019-02-28T16:02:21.000Z,Russia_Spain_Greece_United Kingdom,4
2990011,Greece,United Kingdom,Turkey,Mexico,Russia,28160.0,2019-02-28T16:02:24.000Z,Greece_United Kingdom_Turkey_Mexico_Russia,5
2990012,Turkey,Spain,Russia,Israel,Greece,70024.0,2019-02-28T16:02:25.000Z,Turkey_Spain_Russia_Israel_Greece,5
2990013,Mexico,,,Greece,United Kingdom,25702.0,2019-02-28T16:02:26.000Z,Mexico_Greece_United Kingdom,3
2990014,Turkey,Spain,Turkey,Mexico,Spain,98076.0,2019-02-28T16:02:29.000Z,Turkey_Spain_Turkey_Mexico_Spain,5
2990015,Turkey,,Greece,Spain,Mexico,44536.0,2019-02-28T16:02:35.000Z,Turkey_Greece_Spain_Mexico,4
2990016,Greece,United Kingdom,,Turkey,,81886.0,2019-02-28T16:02:35.000Z,Greece_United Kingdom_Turkey,3
2990017,Russia,Russia,Spain,Israel,Greece,74820.0,2019-02-28T16:02:42.000Z,Russia_Spain_Israel_Greece,4
2990018,Israel,Turkey,Russia,,Mexico,14418.0,2019-02-28T16:02:43.000Z,Israel_Turkey_Russia_Mexico,4
2990019,,Greece,,Turkey,Israel,50430.0,2019-02-28T16:02:46.000Z,Greece_Turkey_Israel,3
2990020,Spain,,United Kingdom,Greece,,75586.0,2019-02-28T16:02:48.000Z,Spain_United Kingdom_Greece,3
2990021,United Kingdom,Russia,Turkey,,Mexico,1926.0,2019-02-28T16:02:50.000Z,United Kingdom_Russia_Turkey_Mexico,4
2990022,United Kingdom,Mexico,Greece,,,36303.0,2019-02-28T16:02:53.000Z,United Kingdom_Mexico_Greece,3
2990023,Israel,Mexico,Greece,Turkey,,16401.0,2019-02-28T16:02:53.000Z,Israel_Mexico_Greece_Turkey,4
2990024,Greece,Turkey,,Israel,Mexico,2132.0,2019-02-28T16:02:54.000Z,Greece_Turkey_Israel_Mexico,4
2990025,Greece,United Kingdom,Russia,Mexico,Russia,22170.0,2019-02-28T16:02:56.000Z,Greece_United Kingdom_Russia_Mexico_Russia,5
2990026,United Kingdom,Turkey,Mexico,United Kingdom,Spain,26959.0,2019-02-28T16:02:57.000Z,United Kingdom_Turkey_Mexico_United Kingdom_Spain,5
2990027,Israel,United Kingdom,Turkey,Greece,,24797.0,2019-02-28T16:02:57.000Z,Israel_United Kingdom_Turkey_Greece,4
2990028,Russia,Israel,,United Kingdom,,94415.0,2019-02-28T16:02:59.000Z,Russia_Israel_United Kingdom,3
2990029,,,Russia,Spain,Russia,25138.0,2019-02-28T16:03:01.000Z,Russia_Spain_Russia,3
2990030,Greece,,United Kingdom,Israel,Israel,95850.0,2019-02-28T16:03:07.000Z,Greece_United Kingdom_Israel,3
2990031,Israel,Turkey,,,,64429.0,2019-02-28T16:03:14.000Z,Israel_Turkey,2
2990032,Greece,Russia,Israel,Greece,Greece,64326.0,2019-02-28T16:03:16.000Z,Greece_Russia_Israel_Greece,4
2990033,Turkey,Greece,Greece,Turkey,Greece,11520.0,2019-02-28T16:03:16.000Z,Turkey_Greece_Turkey_Greece,4
2990034,United Kingdom,Spain,,Mexico,Turkey,13776.0,2019-02-28T16:03:17.000Z,United Kingdom_Spain_Mexico_Turkey,4
2990035,Spain,Turkey,Greece,United Kingdom,,47274.0,2019-02-28T16:03:17.000Z,Spain_Turkey_Greece_United Kingdom,4
2990036,Russia,Turkey,Mexico,Israel,,28590.0,2019-02-28T16:03:18.000Z,Russia_Turkey_Mexico_Israel,4
2990037,United Kingdom,United Kingdom,Turkey,Spain,Russia,1287.0,2019-02-28T16:03:20.000Z,United Kingdom_Turkey_Spain_Russia,4
2990038,Greece,United Kingdom,Israel,,Mexico,74642.0,2019-02-28T16:03:22.000Z,Greece_United Kingdom_Israel_Mexico,4
2990039,Russia,,,Greece,Turkey,11602.0,2019-02-28T16:03:22.000Z,Russia_Greece_Turkey,3
2990040,Greece,United Kingdom,Israel,Turkey,Mexico,29922.0,2019-02-28T16:03:27.000Z,Greece_United Kingdom_Israel_Turkey_Mexico,5
2990041,Greece,Mexico,United Kingdom,Turkey,Israel,82794.0,2019-02-28T16:03:29.000Z,Greece_Mexico_United Kingdom_Turkey_Israel,5
2990042,Mexico,United Kingdom,,Greece,Mexico,12844.0,2019-02-28T16:03:32.000Z,Mexico_United Kingdom_Greece_Mexico,4
2990043,Turkey,Spain,,Turkey,Mexico,50491.0,2019-02-28T16:03:35.000Z,Turkey_Spain_Turkey_Mexico,4
2990044,Turkey,Greece,,Spain,Russia,65322.0,2019-02-28T16:03:37.000Z,Turkey_Greece_Spain_Russia,4
2990045,Spain,United Kingdom,Spain,Israel,Spain,86133.0,2019-02-28T16:03:37.000Z,Spain_United Kingdom_Spain_Israel_Spain,5
2990046,Spain,Greece,,Mexico,Turkey,1231.0,2019-02-28T16:03:37.000Z,Spain_Greece_Mexico_Turkey,4
2990047,Spain,Israel,,Turkey,Russia,18145.0,2019-02-28T16:03:39.000Z,Spain_Israel_Turkey_Russia,4
2990048,Russia,,Israel,United Kingdom,Spain,75431.0,2019-02-28T16:03:39.000Z,Russia_Israel_United Kingdom_Spain,4
2990049,,Israel,,United Kingdom,,17187.0,2019-02-28T16:03:41.000Z,Israel_United Kingdom,2
2990050,Israel,Spain,United Kingdom,Turkey,,12299.0,2019-02-28T16:03:41.000Z,Israel_Spain_United Kingdom_Turkey,4
2990051,Russia,United Kingdom,Spain,Greece,,1859.0,2019-02-28T16:03:42.000Z,Russia_United Kingdom_Spain_Greece,4
2990052,,Spain,,Israel,Turkey,61269.0,2019-02-28T16:03:42.000Z,Spain_Israel_Turkey,3
2990053,Greece,Israel,Spain,,,89050.0,2019-02-28T16:03:43.000Z,Greece_Israel_Spain,3
2990054,United Kingdom,Spain,Greece,,Mexico,52567.0,2019-02-28T16:03:45.000Z,United Kingdom_Spain_Greece_Mexico,4
2990055,Mexico,United Kingdom,Spain,Turkey,Greece,82027.0,2019-02-28T16:03:46.000Z,Mexico_United Kingdom_Spain_Turkey_Greece,5
2990056,,Russia,Greece,Spain,Turkey,88143.0,2019-02-28T16:03:48.000Z,Russia_Greece_Spain_Turkey,4
2990057,Russia,Israel,Greece,Spain,Spain,67682.0,2019-02-28T16:03:49.000Z,Russia_Israel_Greece_Spain,4
2990058,Israel,Russia,Turkey,United Kingdom,Russia,45115.0,2019-02-28T16:03:51.000Z,Israel_Russia_Turkey_United Kingdom_Russia,5
2990059,Greece,Mexico,,,Spain,20867.0,2019-02-28T16:03:59.000Z,Greece_Mexico_Spain,3
2990060,Mexico,,Israel,,Mexico,67842.0,2019-02-28T16:04:03.000Z,Mexico_Israel_Mexico,3
2990061,Turkey,,Russia,Russia,,24215.0,2019-02-28T16:04:05.000Z,Turkey_Russia,2
2990062,Turkey,Russia,,,United Kingdom,18368.0,2019-02-28T16:04:10.000Z,Turkey_Russia_United Kingdom,3
2990063,Turkey,Israel,United Kingdom,Greece,,81273.0,2019-02-28T16:04:14.000Z,Turkey_Israel_United Kingdom_Greece,4
2990064,Greece,Turkey,,Israel,Mexico,93235.0,2019-02-28T16:04:14.000Z,Greece_Turkey_Israel_Mexico,4
2990065,Israel,,United Kingdom,Greece,Russia,79656.0,2019-02-28T16:04:16.000Z,Israel_United Kingdom_Greece_Russia,4
2990066,Greece,,Turkey,Mexico,,55586.0,2019-02-28T16:04:17.000Z,Greece_Turkey_Mexico,3
2990067,Mexico,Turkey,,Turkey,Turkey,77565.0,2019-02-28T16:04:21.000Z,Mexico_Turkey,2
2990068,Greece,Spain,,United Kingdom,Turkey,1133.0,2019-02-28T16:04:22.000Z,Greece_Spain_United Kingdom_Turkey,4
2990069,Israel,Spain,United Kingdom,Greece,Israel,4183.0,2019-02-28T16:04:23.000Z,Israel_Spain_United Kingdom_Greece_Israel,5
2990070,Spain,Russia,Mexico,Spain,Greece,96883.0,2019-02-28T16:04:24.000Z,Spain_Russia_Mexico_Spain_Greece,5
2990071,,Russia,Greece,,Greece,20575.0,2019-02-28T16:04:24.000Z,Russia_Greece,2
2990072,Turkey,United Kingdom,Mexico,Greece,Greece,18301.0,2019-02-28T16:04:26.000Z,Turkey_United Kingdom_Mexico_Greece,4
2990073,,,Spain,United Kingdom,Greece,11524.0,2019-02-28T16:04:26.000Z,Spain_United Kingdom_Greece,3
